CodName,Laboratorio,PCD,CodHorario,Alunos,Horario,Periodo,Codigo,Nome,Turma,Professor
D1,FALSE,FALSE,T7-T17,56,35T45,2,DEMA0342,Álgebra Linear I,1,Valeska Martins de Souza
D2,TRUE,TRUE,T1,56,2T23,1,DEIN0076,Algoritmos I,1,Carlos de Salles Soares Neto
D3,FALSE,TRUE,T11,56,4T23,1,DEIN0076,Algoritmos I,1,Carlos de Salles Soares Neto
D4,FALSE,FALSE,T2,25,2T45,7,DEIN0093,Algoritmos II,1,Carlos de Salles Soares Neto
D5,TRUE,FALSE,T12,25,4T45,7,DEIN0093,Algoritmos II,1,Carlos de Salles Soares Neto
D6,FALSE,FALSE,T3-T4-T13-T14,60,24N12,3,DSOC0055,Antropologia,1,Rodrigo Theophilo Folhes
D7,FALSE,FALSE,T3-T13,40,24T6N1,3,DEIN0079,Arquitetura de Computadores,1A,Antonio de Abreu Batista Júnior
D8,FALSE,FALSE,T2-T12,30,24T45,5,DEIN0115,Banco de Dados I,1,Simara Vieira da Rocha
D9,TRUE,FALSE,T1-T11,20,24T23,7,DEIN0185,Banco de Dados II,1,Carlos Eduardo Portela Serra de Castro
D10,FALSE,TRUE,T6-T17-T21,60,36T23 5T45,1,DEMA0339,Cálculo I,1,NIVALDO COSTA MUNIZ
D11,FALSE,FALSE,T3-T13-T18,56,245T6N1,2,DEMA0341,Cálculo II,1,Italo Augusto oliveira de Albuquerque
D12,FALSE,FALSE,T4-T14,50,24N23,3,DEMA0338,Cálculo III,1,Gustavo Silvestre do Amaral Costa
D13,FALSE,TRUE,T7-T17,40,35T45,6,DEIN0117,Cálculo Numérico,1,Carlos Antônio Vanderley Gonçalves
D14,FALSE,TRUE,T2-T12,60,24T45,1,DEMA0340,Cálculo Vetorial e geo. Analítica,1,Adecarlos Costa Carvalho
D15,FALSE,FALSE,T7-T17,40,35T45,5,DEEE0220,Circuitos Digitais I,1,Francisco Paulo Roberto Sampaio Alves
D16,FALSE,FALSE,T6-T16,35,35T23,5,DEIN0086,Compiladores,1,Ivo José da Cunha Serra
D17,FALSE,FALSE,T8-T9-T18-T19,35,35N12,8,DEIN0110,Computação e Sociedade,1,Carlos Eduardo Portela Serra de Castro
D18,FALSE,FALSE,T1,25,2T23,7,DEIN0120,Computação Gráfica,1,Darlan Bruno Pontes Quintanilha
D19,TRUE,FALSE,T11,25,4T23,7,DEIN0120,Computação Gráfica,1,Darlan Bruno Pontes Quintanilha
